,Longitude,Latitude,Cost for two,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Aggregate rating
225,-85.1321,34.9273,10.0,0,0,0,0,4.1
226,-85.130492,34.912109,10.0,0,0,0,0,4.3
227,-85.1079396,34.9151853,10.0,0,0,0,0,4.2
228,-85.249727,34.851907,10.0,0,0,0,0,4.1
229,-90.496986,41.574935,25.0,0,0,0,0,4.6
230,-90.522479,41.53845,40.0,0,0,0,0,4.5
231,-90.4912446,41.5747801,25.0,0,0,0,0,3.9
232,-90.504176,41.548746,10.0,0,0,0,0,4.0
233,-90.50709,41.525384,25.0,0,0,0,0,4.1
234,-90.574088,41.593892,25.0,0,0,0,0,3.4
235,-90.565837,41.574459,25.0,0,0,0,0,4.9
236,-90.5716,41.5604,10.0,0,0,0,0,3.9
237,-90.5737,41.5223,70.0,0,0,0,0,3.7
238,-90.59466452,41.52253634,25.0,0,0,0,0,3.2
239,-90.5154313,41.5709434,25.0,0,0,0,0,3.2
240,-90.5683,41.5699,0.0,0,0,0,0,4.3
241,-90.5321,41.5749,25.0,0,0,0,0,4.0
242,-90.5432,41.5747,25.0,0,0,0,0,4.1
243,-90.572418,41.520389,10.0,0,0,0,0,4.3
244,-90.5137,41.5745,25.0,0,0,0,0,4.0
245,-90.5686,41.559,25.0,0,0,0,0,4.1
246,-90.6136,41.5944,25.0,0,0,0,0,4.1
247,-90.515175,41.570997,40.0,0,0,0,0,4.2
248,-90.517,41.5747,25.0,0,0,0,0,4.2
249,-93.610084,42.010254,25.0,0,0,0,0,4.5
250,-93.643094,42.048779,25.0,0,0,0,0,4.9
251,-93.677638,41.614965,40.0,0,0,0,0,4.5
252,-93.739573,41.600564,25.0,0,0,0,0,4.1
253,-93.760027,41.60028,25.0,0,0,0,0,4.0
254,-93.627896,41.583309,25.0,0,0,0,0,3.2
255,-93.6300803,41.5857431,40.0,0,0,0,0,4.5
256,-93.621631,41.585465,25.0,0,0,0,0,4.6
257,-93.637401,41.587219,10.0,0,0,0,0,4.4
258,-93.620726,41.58536,40.0,0,0,0,0,4.2
259,-93.629436,41.584027,40.0,0,0,0,0,4.3
260,-93.611366,41.590819,25.0,0,0,0,0,4.8
261,-93.61474,41.590106,10.0,0,0,0,0,4.2
262,-93.577383,41.601415,70.0,0,0,0,0,4.1
263,-93.645245,41.545869,10.0,0,0,0,0,4.1
264,-93.6976773,41.6714654,10.0,0,0,0,0,4.0
265,-93.659797,41.603901,25.0,0,0,0,0,4.3
266,-93.772033,41.615083,25.0,0,0,0,0,3.8
267,-93.73624,41.594039,25.0,0,0,0,0,4.0
268,-93.7441981,41.5991771,40.0,0,0,0,0,4.2
269,153.137401,-26.783576,7.0,0,0,0,0,3.6
270,-90.667668,42.504759,10.0,0,0,0,0,3.4
271,-90.6499328,42.5124724,25.0,0,0,0,0,3.3
272,-90.6684746,42.5032004,10.0,0,0,0,0,3.4
273,-90.658609,42.496464,25.0,0,0,0,0,3.3
274,-90.664029,42.495689,25.0,0,0,0,0,3.4
275,-90.715247,42.492018,25.0,0,0,0,0,3.5
276,-90.740213,42.49092,10.0,0,0,0,0,3.6
277,-90.7264,42.4955,0.0,0,0,0,0,3.5
278,-90.645294,42.516621,25.0,0,0,0,0,3.6
279,-90.712084,42.492963,40.0,0,0,0,0,3.7
280,-90.6646,42.5043,25.0,0,0,0,0,3.6
281,-90.668164,42.503075,40.0,0,0,0,0,3.8
282,-90.7055,42.4916,10.0,0,0,0,0,3.5
283,-90.6677349,42.500191,10.0,0,0,0,0,3.5
284,-90.6691,42.5048,25.0,0,0,0,0,3.6
285,-90.6651,42.4974,40.0,0,0,0,0,3.6
286,-90.6658,42.4963,25.0,0,0,0,0,3.6
287,-90.663686,42.4982789,10.0,0,0,0,0,3.5
288,-90.684882,42.527556,25.0,0,0,0,0,3.7
289,-90.658988,42.496378,70.0,0,0,0,0,3.6
290,153.593331,-28.862663,20.0,0,0,0,0,4.1
291,-119.252694,39.607515,10.0,0,0,0,0,3.7
292,152.8771473,-26.6521332,30.0,0,0,0,0,3.5
293,143.714315,-38.517292,20.0,0,0,0,0,3.7
294,-83.8461,34.0901,25.0,0,0,0,0,4.4
295,-83.520693,34.61802,10.0,0,0,0,0,4.1
296,-83.985353,34.532973,25.0,0,0,0,0,3.8
297,-83.9858,34.5318,40.0,0,0,0,0,3.9
298,-83.983939,34.533626,10.0,0,0,0,0,3.9
299,-83.989317,34.541044,10.0,0,0,0,0,4.4
300,-83.986119,34.533198,25.0,0,0,0,0,4.1
301,-83.938024,34.183573,25.0,0,0,0,0,3.8
302,-83.926217,34.185707,40.0,0,0,0,0,4.3
303,-83.927794,34.180043,10.0,0,0,0,0,4.1
304,-83.838457,34.285102,25.0,0,0,0,0,4.9
305,-83.857993,34.300182,10.0,0,0,0,0,4.6
306,-83.860098,34.222755,25.0,0,0,0,0,3.8
307,-83.824023,34.300567,25.0,0,0,0,0,4.2
308,-83.8272,34.3166,10.0,0,0,0,0,4.3
309,-83.82686,34.300332,25.0,0,0,0,0,4.2
310,-83.727741,34.701594,40.0,0,0,0,0,3.8
311,-83.7345,34.7024,10.0,0,0,0,0,3.9
312,-83.7334,34.7021,25.0,0,0,0,0,2.2
313,-83.713498,34.691208,10.0,0,0,0,0,4.0
314,144.1387014,-37.3123267,20.0,0,0,0,0,3.8
315,144.110062,-37.275494,7.0,0,0,0,0,3.8
316,150.6710743,-35.0388698,20.0,0,0,0,0,4.1
317,145.7287133,-38.6347458,7.0,0,0,0,0,3.7
318,147.9942247,-37.8783865,7.0,0,0,0,0,3.8
319,-120.3458,42.1885,10.0,0,0,0,0,3.6
320,-96.7072,40.8143,25.0,0,0,0,0,4.5
321,151.558475,-32.728097,20.0,0,0,0,0,3.6
322,144.564174,-37.423189,20.0,0,0,0,0,3.5
323,-83.594494,32.567741,25.0,0,0,0,0,3.9
324,-83.657061,32.853896,10.0,0,0,0,0,4.9
325,-83.6737,32.8496,25.0,0,0,0,0,4.6
326,-83.6766,32.8899,25.0,0,0,0,0,4.5
327,-83.6279,32.8361,25.0,0,0,0,0,4.5
328,-83.627979,32.83641,40.0,0,0,0,0,3.8
329,-83.713978,32.929278,40.0,0,0,0,0,4.1
330,-83.6276,32.8375,70.0,0,0,0,0,4.0
331,-83.628703,32.83654,10.0,0,0,0,0,4.3
332,-83.787993,32.928495,70.0,0,0,0,0,4.2
333,-83.6873,32.901,10.0,0,0,0,0,4.2
334,-83.662421,32.556873,25.0,0,0,0,0,3.7
335,-83.624,32.5786,25.0,0,0,0,0,3.7
336,-83.6665,32.6184,10.0,0,0,0,0,3.7
337,-83.691044,32.552684,25.0,0,0,0,0,3.8
338,-83.64935,32.594666,10.0,0,0,0,0,4.1
339,-83.636618,32.6176839,25.0,0,0,0,0,4.0
340,-83.600201,32.619321,25.0,0,0,0,0,4.2
341,-83.665557,32.593264,10.0,0,0,0,0,4.0
342,-83.7184,32.6147,40.0,0,0,0,0,4.1
343,151.7343832,-32.899178,20.0,0,0,0,0,2.9
344,-85.7363,46.3718,10.0,0,0,0,0,2.4
345,117.917166,-35.025861,30.0,0,0,0,0,3.8
346,-98.9891,44.5158,0.0,0,0,0,0,3.4
347,-89.653487,42.606306,25.0,0,0,0,0,3.6
348,152.893735,-26.690462,30.0,0,0,0,0,2.4
349,-106.057666,36.313638,40.0,0,0,0,0,3.6
350,-81.381077,28.540432,40.0,0,0,0,0,4.4
351,-81.585226,28.405437,45.0,0,0,0,0,4.5
352,-81.514608,28.372858,35.0,0,0,0,0,4.7
353,-81.517725,28.371338,50.0,0,0,0,0,4.3
354,-81.469986,28.440344,40.0,0,0,0,0,4.6
355,-81.4510725,28.4676808,100.0,0,0,0,0,4.6
356,-81.471526,28.437065,45.0,0,0,0,0,4.3
357,-81.471447,28.433235,50.0,0,0,0,0,4.4
358,-81.364347,28.560505,35.0,0,0,0,0,4.6
359,-81.364547,28.557845,10.0,0,0,0,0,4.4
360,-81.487978,28.448175,60.0,0,0,0,0,4.4
361,-81.266871,28.811653,40.0,0,0,0,0,4.8
362,-81.351467,28.543571,25.0,0,0,0,0,4.9
363,-81.522987,28.527592,35.0,0,0,0,0,4.9
364,-81.322631,28.601088,25.0,0,0,0,0,4.7
365,-81.357219,28.597366,25.0,0,0,0,0,3.6
366,-81.3508344,28.5976271,40.0,0,0,0,0,4.2
367,-81.352921,28.592857,25.0,0,0,0,0,4.4
368,-81.36526,28.596682,40.0,0,0,0,0,4.4
369,-81.356024,28.593297,40.0,0,0,0,0,4.4
370,145.670768,-16.748083,30.0,0,0,0,0,4.4
371,147.7227832,-37.9194154,120.0,0,0,0,0,2.6
372,140.837409,-37.379153,20.0,0,0,0,0,3.4
373,-86.8573393,30.4025979,25.0,0,0,0,0,4.2
374,-87.2027,30.4179,40.0,0,0,0,0,4.9
375,-87.1819,30.4251,10.0,0,0,0,0,4.6
376,-87.2216,30.4982,10.0,0,0,0,0,4.5
377,-87.205855,30.417318,40.0,0,0,0,0,3.7
378,-87.213274,30.403034,25.0,0,0,0,0,3.9
379,-87.2150874,30.4116106,25.0,0,0,0,0,3.7
380,-87.2080932,30.4473322,25.0,0,0,0,0,4.2
381,-87.2092,30.4101,40.0,0,0,0,0,4.1
382,-87.2153054,30.411878,40.0,0,0,0,0,4.4
383,-87.2252,30.4767,25.0,0,0,0,0,4.3
384,-87.211082,30.407358,40.0,0,0,0,0,4.0
385,-87.214,30.4692,25.0,0,0,0,0,4.1
386,-87.143,30.3359,40.0,0,0,0,0,3.9
387,-87.142602,30.335521,40.0,0,0,0,0,3.5
388,-87.132932,30.334776,25.0,0,0,0,0,4.2
389,-87.164376,30.327864,40.0,0,0,0,0,4.4
390,-87.149178,30.34262,40.0,0,0,0,0,4.3
391,-87.4218962,30.3199824,10.0,0,0,0,0,4.7
392,-87.427707,30.308468,40.0,0,0,0,0,4.4
393,145.237813,-38.448307,20.0,0,0,0,0,3.7
394,-112.3415,43.1903,10.0,0,0,0,0,3.7
395,-112.461326,42.910518,45.0,0,0,0,0,3.5
396,-112.0132,42.62,10.0,0,0,0,0,3.6
397,-112.0127,42.6192,0.0,0,0,0,0,3.6
398,-112.4423,42.8661,40.0,0,0,0,0,3.7
399,-112.4516,42.8919,30.0,0,0,0,0,3.6
400,-112.441,42.8928,10.0,0,0,0,0,3.5
401,-112.4397,42.8631,10.0,0,0,0,0,3.8
402,-112.4365,42.8604,10.0,0,0,0,0,3.8
403,-112.4524,42.8639,25.0,0,0,0,0,3.7
404,-112.459988,42.878077,10.0,0,0,0,0,3.5
405,-112.443213,42.860024,25.0,0,0,0,0,3.7
406,-112.432,42.9012,40.0,0,0,0,0,3.6
407,-112.4433,42.8942,0.0,0,0,0,0,3.6
408,-112.452013,42.88245,25.0,0,0,0,0,3.6
409,-112.45253,42.863969,25.0,0,0,0,0,3.8
410,-112.450106,42.861871,25.0,0,0,0,0,3.7
411,-112.4413856,42.8585987,40.0,0,0,0,0,3.6
412,-112.44853,42.891174,25.0,0,0,0,0,3.2
413,-112.4419,42.8774,10.0,0,0,0,0,4.1
414,-116.704731,32.613431,25.0,0,0,0,0,3.3
415,-74.651139,40.352385,70.0,0,0,0,0,4.0
416,-157.948486,21.677078,25.0,0,0,0,0,4.5
417,-155.997362,19.642752,35.0,0,0,0,0,4.7
418,-157.813432,21.284586,10.0,0,0,0,0,4.7
419,-156.455284,20.748838,30.0,0,0,0,0,4.5
420,-156.451847,20.731487,10.0,0,0,0,0,4.5
421,-156.4309473,20.6883746,40.0,0,0,0,0,4.2
422,-156.452556,20.733554,40.0,0,0,0,0,4.2
423,-156.674835,20.885226,10.0,0,0,0,0,4.6
424,-156.684967,20.886564,10.0,0,0,0,0,4.2
425,-156.667037,20.992316,25.0,0,0,0,0,4.4
426,-156.693821,20.921347,40.0,0,0,0,0,4.3
427,-156.680666,20.876127,40.0,0,0,0,0,4.3
428,-156.366445,20.929622,70.0,0,0,0,0,4.9
429,-157.825979,21.279476,10.0,0,0,0,0,4.9
430,-157.8312476,21.2794952,40.0,0,0,0,0,4.6
431,-157.822716,21.271826,25.0,0,0,0,0,3.9
432,-157.827196,21.277583,70.0,0,0,0,0,4.4
433,-157.831538,21.280663,10.0,0,0,0,0,4.0
434,-157.831176,21.279154,70.0,0,0,0,0,4.2
435,-157.836031,21.285396,25.0,0,0,0,0,4.2
436,-81.0954,32.0804,40.0,0,0,0,0,3.3
437,-81.096647,32.052858,40.0,0,0,0,0,4.7
438,-81.0894,32.0785,10.0,0,0,0,0,4.6
439,-81.0955,32.0727,40.0,0,0,0,0,4.5
440,-81.0911,32.0775,25.0,0,0,0,0,4.5
441,-81.0916,32.0809,25.0,0,0,0,0,3.7
442,-81.0844,32.0782,40.0,0,0,0,0,3.8
443,-81.0875,32.0798,25.0,0,0,0,0,4.1
444,-81.0979,32.0735,25.0,0,0,0,0,4.4
445,-81.0941,32.0801,10.0,0,0,0,0,4.2
446,-81.0905213,32.0794767,10.0,0,0,0,0,4.1
447,-81.0897,32.0812,40.0,0,0,0,0,4.1
448,-81.091482,32.074495,25.0,0,0,0,0,4.3
449,-81.097051,32.080742,10.0,0,0,0,0,4.3
450,-81.092484,32.081394,70.0,0,0,0,0,4.0
451,-81.0939,32.0747,25.0,0,0,0,0,4.3
452,-81.0897,32.0798,70.0,0,0,0,0,4.4
453,-81.0908,32.0809,70.0,0,0,0,0,4.1
454,-80.865909,32.011689,40.0,0,0,0,0,3.8
455,-80.848297,31.99581,10.0,0,0,0,0,3.9
456,103.8600048,1.2826608,300.0,0,0,0,0,3.4
457,103.8594222,1.285476931,270.0,0,0,0,0,4.0
458,103.8403602,1.279419756,500.0,0,0,0,0,3.8
459,103.8416688,1.280502991,80.0,0,0,0,0,3.1
460,103.8536048,1.293220698,430.0,0,0,0,0,3.8
461,103.8430222,1.27944363,315.0,0,0,0,0,3.9
462,103.859422,1.300404333,20.0,0,0,0,0,4.2
463,103.8070809,1.331128397,100.0,0,0,0,0,4.1
464,103.8146178,1.29782554,50.0,0,0,0,0,3.2
465,103.8621195,1.310668316,80.0,0,0,0,0,3.2
466,103.8604162,1.311550709,40.0,0,0,0,0,3.7
467,103.8558665,1.289761964,30.0,0,0,0,0,3.0
468,103.859955,1.2905805,220.0,0,0,0,0,3.8
